trial,condition,receiver,window_index,window_start_s,frame_count,valid_temporal_pairs,temporal_pair_retention,sequence_gap_count,largest_sequence_gap,usable,spectral_velocity_mean,spectral_velocity_p95,temporal_spread,baseline_distance,rssi_mean,rssi_std,rssi_shift
walk_01,walk_cross_link,RX01,29,29.0,50,49,1.0,0,1,True,0.09801236710438185,0.3666414982631273,0.1706793684751121,0.008657249480637069,-49.98,0.14000000000000004,0.020000000000003126
walk_01,walk_cross_link,RX01,30,30.0,49,47,0.9791666666666666,1,2,True,0.12766973639816276,0.3898576414927739,0.23690827879667004,0.012023447933930623,-49.93877551020408,0.6823776937673669,0.06122448979591866
walk_01,walk_cross_link,RX01,31,31.0,50,49,1.0,0,1,True,0.09101469424154117,0.379335415430704,0.15813992154326356,0.015974150513706032,-50.24,1.4636939570825591,0.240000000000002
walk_01,walk_cross_link,RX01,32,32.0,50,49,1.0,0,1,True,0.08996690079952736,0.3432046382618227,0.17321791926285626,0.05250742627596416,-54.84,1.3169662106523463,4.840000000000003
walk_01,walk_cross_link,RX01,33,33.0,49,48,1.0,0,1,True,0.08150464091875215,0.35736637251333037,0.13308156410183208,0.014494165803378459,-52.816326530612244,1.2400373494663928,2.816326530612244
walk_01,walk_cross_link,RX01,34,34.0,50,49,1.0,0,1,True,0.09880855203620521,0.3620042031856123,0.1829573654597973,0.010732452129190908,-49.36,0.6560487786742689,0.6400000000000006
walk_01,walk_cross_link,RX01,35,35.0,47,44,0.9565217391304348,2,2,True,0.12194239092532672,0.37711693841641614,0.21757704716616594,0.008628026667301225,-49.53191489361702,0.5399394698063626,0.4680851063829792
walk_01,walk_cross_link,RX01,36,36.0,48,46,0.9787234042553191,1,2,True,0.11661325322770141,0.3673333693931594,0.2168424073026306,0.014480504153275325,-49.854166666666664,0.35293904887702954,0.1458333333333357
walk_01,walk_cross_link,RX01,37,37.0,50,48,0.9795918367346939,1,2,True,0.07390709565388552,0.2726339169036587,0.1298984252734578,0.012761962518591158,-49.6,0.4898979485566356,0.3999999999999986
walk_01,walk_cross_link,RX01,38,38.0,49,47,0.9791666666666666,1,2,True,0.08962736377638007,0.3544841551073539,0.14888813451618688,0.011118358388181641,-49.46938775510204,0.49906201063826466,0.5306122448979593
walk_01,walk_cross_link,RX01,39,39.0,49,47,0.9791666666666666,1,2,True,0.080510014400663,0.37084847665060516,0.13201296724027572,0.006668560726766962,-49.46938775510204,0.49906201063826466,0.5306122448979593
walk_01,walk_cross_link,RX01,40,40.0,48,45,0.9574468085106383,2,2,True,0.15069404962405,0.39499685891666586,0.23447223492039537,0.009673057953584814,-49.3125,0.5064685742143008,0.6875
walk_01,walk_cross_link,RX01,41,41.0,48,46,0.9787234042553191,1,3,True,0.10455128039509765,0.38685205771599346,0.1765812892812907,0.012252566361777508,-49.6875,0.46351240544347894,0.3125
walk_01,walk_cross_link,RX01,42,42.0,49,47,0.9791666666666666,1,2,True,0.06943593264334187,0.3537205203535936,0.12938817442670597,0.009190638482175493,-49.69387755102041,0.46088121594433534,0.3061224489795933
walk_01,walk_cross_link,RX01,43,43.0,50,49,1.0,0,1,True,0.07325997687437888,0.3704324060975614,0.12924561744358354,0.009887574763377266,-49.8,0.7211102550927979,0.20000000000000284
walk_01,walk_cross_link,RX01,44,44.0,50,49,1.0,0,1,True,0.0999473327048796,0.38429411077259595,0.17308397952008625,0.016338085705935264,-51.76,2.1406541056415445,1.759999999999998
walk_01,walk_cross_link,RX01,45,45.0,49,48,1.0,0,1,True,0.10459054604933478,0.39796132857061456,0.16762574346813336,0.0664351310842129,-54.12244897959184,0.6890588986177197,4.122448979591837
walk_01,walk_cross_link,RX01,46,46.0,47,44,0.9565217391304348,2,3,True,0.07506184193135496,0.3563045387405249,0.12780170683890696,0.007740632570116132,-50.61702127659574,1.5375192991608229,0.617021276595743
walk_01,walk_cross_link,RX01,47,47.0,48,44,0.9361702127659575,3,2,True,0.1676591074860135,0.3911058515239739,0.24215509791298329,0.009466652271064883,-49.583333333333336,0.5335936864527374,0.4166666666666643
walk_01,walk_cross_link,RX01,48,48.0,46,43,0.9555555555555556,2,4,True,0.09419577764108603,0.3740286267345364,0.16037750204435597,0.010503775365318787,-49.630434782608695,0.48268702850379386,0.36956521739130466
walk_01,walk_cross_link,RX01,49,49.0,48,46,0.9787234042553191,1,2,True,0.10583044255884456,0.3720289697865808,0.17814991481657594,0.013783281992710004,-49.8125,0.3903123748998999,0.1875
walk_01,walk_cross_link,RX02,10,10.0,50,49,1.0,0,1,True,0.06965778441659519,0.36975038255098164,0.12247853063855159,0.011453810405781828,-53.7,0.5,0.29999999999999716
walk_01,walk_cross_link,RX02,11,11.0,50,49,1.0,0,1,True,0.143456944479143,0.39887734118327517,0.2259815868671008,0.009473413055367256,-53.96,0.6311893535223799,0.03999999999999915
walk_01,walk_cross_link,RX02,12,12.0,49,47,0.9791666666666666,1,2,True,0.09467720443943241,0.38655438573609724,0.15762874041135116,0.006491687811562527,-54.0,0.6700593942604899,0.0
walk_01,walk_cross_link,RX02,13,13.0,50,49,1.0,0,1,True,0.15627838103099076,0.4243329714877622,0.23360962014677128,0.007363017341440762,-54.08,0.6881860213634101,0.0799999999999983
walk_01,walk_cross_link,RX02,14,14.0,48,45,0.9574468085106383,2,2,True,0.14113433546460938,0.4835422182301152,0.243580426100165,0.017635873932510465,-54.083333333333336,0.9537935951882998,0.0833333333333357
walk_01,walk_cross_link,RX02,15,15.0,49,47,0.9791666666666666,1,2,True,0.08998853985244423,0.3644625865891999,0.15525922023054586,0.020682326198757064,-57.3469387755102,1.868656839552587,3.3469387755102034
walk_01,walk_cross_link,RX02,16,16.0,49,47,0.9791666666666666,1,2,True,0.0732012615164767,0.3593399461109588,0.12805032231778882,0.016728933758064553,-57.63265306122449,1.0438132124526058,3.632653061224488
walk_01,walk_cross_link,RX02,17,17.0,49,47,0.9791666666666666,1,2,True,0.1345742393661384,0.39696648192388284,0.22735986730729413,0.008838712064087165,-53.69387755102041,0.7614186982113318,0.3061224489795933
walk_01,walk_cross_link,RX02,18,18.0,49,47,0.9791666666666666,1,2,True,0.13057690299169758,0.3963739228645244,0.20778866316314487,0.018454277820688512,-53.69387755102041,0.5422583777790377,0.3061224489795933
walk_01,walk_cross_link,RX02,19,19.0,50,49,1.0,0,1,True,0.08264476836472251,0.37476197938302735,0.14372400754846465,0.011071481099450253,-53.98,0.31559467676119,0.020000000000003126
walk_01,walk_cross_link,RX02,20,20.0,50,49,1.0,0,1,True,0.05724189563691755,0.09603490828186595,0.0933634285941526,0.02175862624709119,-56.2,1.7888543819998317,2.200000000000003
walk_01,walk_cross_link,RX02,21,21.0,50,49,1.0,0,1,True,0.0929677417148491,0.37947899244534083,0.16928026119948014,0.02642344514048501,-55.12,1.8070971196922427,1.1199999999999974
walk_01,walk_cross_link,RX02,22,22.0,50,49,1.0,0,1,True,0.11575776692474155,0.38489771733744976,0.22161548134601727,0.009237061378169173,-54.04,0.5642694391866353,0.03999999999999915
walk_01,walk_cross_link,RX02,23,23.0,50,49,1.0,0,1,True,0.08267687312998737,0.3787009859898498,0.15356542966496523,0.006562333065280364,-54.1,0.6082762530298219,0.10000000000000142
walk_01,walk_cross_link,RX02,24,24.0,50,49,1.0,0,1,True,0.09180891066636108,0.3894182417100681,0.15815230982960402,0.00672333897834151,-53.8,0.529150262212918,0.20000000000000284
walk_01,walk_cross_link,RX02,25,25.0,49,47,0.9791666666666666,1,2,True,0.09610988268506374,0.38381317846125956,0.20268837082738617,0.008011649131145571,-53.89795918367347,0.6466522252144841,0.10204081632652873
