trial,condition,receiver,time_s,sequence_offset,rssi_dbm
empty_01,empty,RX01,20.746145,1036,-50
empty_01,empty,RX01,20.76661,1037,-50
empty_01,empty,RX01,20.786082,1038,-50
empty_01,empty,RX01,20.806757,1039,-50
empty_01,empty,RX01,20.826062,1040,-50
empty_01,empty,RX01,20.84917,1041,-50
empty_01,empty,RX01,20.866895,1042,-50
empty_01,empty,RX01,20.886094,1043,-50
empty_01,empty,RX01,20.906083,1044,-50
empty_01,empty,RX01,20.926507,1045,-50
empty_01,empty,RX01,20.946074,1046,-50
empty_01,empty,RX01,20.967601,1047,-50
empty_01,empty,RX01,20.986079,1048,-50
empty_01,empty,RX01,21.008249,1049,-50
empty_01,empty,RX01,21.027514,1050,-50
empty_01,empty,RX01,21.046089,1051,-50
empty_01,empty,RX01,21.070004,1052,-50
empty_01,empty,RX01,21.086114,1053,-50
empty_01,empty,RX01,21.106075,1054,-50
empty_01,empty,RX01,21.126316,1055,-50
empty_01,empty,RX01,21.146825,1056,-50
empty_01,empty,RX01,21.166193,1057,-50
empty_01,empty,RX01,21.186075,1058,-50
empty_01,empty,RX01,21.206968,1059,-50
empty_01,empty,RX01,21.227249,1060,-50
empty_01,empty,RX01,21.249625,1061,-50
empty_01,empty,RX01,21.28711,1062,-50
empty_01,empty,RX01,21.287756,1063,-49
empty_01,empty,RX01,21.308198,1064,-50
empty_01,empty,RX01,21.327836,1065,-50
empty_01,empty,RX01,21.351675,1066,-50
empty_01,empty,RX01,21.368988,1067,-50
empty_01,empty,RX01,21.387828,1068,-49
empty_01,empty,RX01,21.407809,1069,-50
empty_01,empty,RX01,21.429831,1070,-50
empty_01,empty,RX01,21.454064,1071,-53
empty_01,empty,RX01,21.468116,1072,-49
empty_01,empty,RX01,21.488889,1073,-49
empty_01,empty,RX01,21.50784,1074,-50
empty_01,empty,RX01,21.528447,1075,-50
empty_01,empty,RX01,21.548074,1076,-50
empty_01,empty,RX01,21.571286,1077,-50
empty_01,empty,RX01,21.587818,1078,-50
empty_01,empty,RX01,21.609231,1079,-50
empty_01,empty,RX01,21.632281,1080,-50
empty_01,empty,RX01,21.647828,1081,-50
empty_01,empty,RX01,21.670322,1082,-50
empty_01,empty,RX01,21.690014,1083,-50
empty_01,empty,RX01,21.707825,1084,-50
empty_01,empty,RX01,21.752503,1085,-50
empty_01,empty,RX01,21.754078,1086,-50
empty_01,empty,RX01,21.802518,1088,-50
empty_01,empty,RX01,21.815012,1089,-50
empty_01,empty,RX01,21.835659,1090,-50
empty_01,empty,RX01,21.853711,1091,-50
empty_01,empty,RX01,21.873298,1092,-49
empty_01,empty,RX01,21.894274,1093,-50
empty_01,empty,RX01,21.913224,1094,-50
empty_01,empty,RX01,21.938043,1095,-50
empty_01,empty,RX01,21.954664,1096,-50
empty_01,empty,RX01,21.97399,1097,-49
empty_01,empty,RX01,21.994415,1098,-50
empty_01,empty,RX01,22.013246,1099,-50
empty_01,empty,RX01,22.033675,1100,-50
empty_01,empty,RX01,22.053623,1101,-50
empty_01,empty,RX01,22.074086,1102,-50
empty_01,empty,RX01,22.099351,1103,-49
empty_01,empty,RX01,22.113239,1104,-50
empty_01,empty,RX01,22.156827,1105,-50
empty_01,empty,RX01,22.167903,1106,-50
empty_01,empty,RX01,22.178791,1107,-50
empty_01,empty,RX01,22.197558,1108,-49
empty_01,empty,RX01,22.217558,1109,-49
empty_01,empty,RX01,22.237572,1110,-50
empty_01,empty,RX01,22.262131,1111,-50
empty_01,empty,RX01,22.277559,1112,-50
empty_01,empty,RX01,22.298832,1113,-49
